id,rated,variant,speed,perf,createdAt,lastMoveAt,status,players,opening,moves,clock,winner,tournament
QMaY8VB3,True,standard,blitz,blitz,2021-05-17 21:33:24.548000+00:00,2021-05-17 21:36:05.456000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2200, 'ratingDiff': -11}, 'black': {'user': {'name': 'IckerElTigre', 'id': 'ickereltigre'}, 'rating': 2157, 'ratingDiff': 6}}","{'eco': 'C41', 'name': 'Philidor Defense', 'ply': 6}",e4 e5 Nf3 d6 Bc4 Be7 O-O Nf6 Re1 O-O c3 Nc6 h3 Nxe4 Rxe4 d5 Bxd5 Qxd5 Re1 Bf5 Qb3 Qxb3 axb3 Bf6 Na3 a6 Nc4 Rfe8 g4 Bd3 g5 Bxc4 gxf6 Bxb3 fxg7 Kxg7 Ra3 Bd5 d3 Bxf3,"{'initial': 180, 'increment': 0, 'totalTime': 180}",black,
d1ChKZUC,True,standard,blitz,blitz,2021-03-03 18:54:24.263000+00:00,2021-03-03 18:56:46.414000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2194, 'ratingDiff': 3}, 'black': {'user': {'name': 'SSLTD2016', 'id': 'ssltd2016'}, 'rating': 2063, 'ratingDiff': -4}}","{'eco': 'B01', 'name': 'Scandinavian Defense: Main Line', 'ply': 6}",e4 d5 exd5 Qxd5 Nc3 Qa5 Nf3 Nf6 Bc4 Bg4 h3 Qh5 d3 Nc6 O-O O-O-O hxg4 Nxg4 Ne2 e6 Ng3 Qa5 Bd2 Qc5 b4 Nxb4 Bxb4 Qxb4 Rb1 Qc5 Rb5 Qc6 Qb1 Bd6 Ne4 a6 Rb3 h6 Nd4,"{'initial': 180, 'increment': 0, 'totalTime': 180}",white,
s9apOUsf,True,standard,blitz,blitz,2021-03-03 17:51:46.675000+00:00,2021-03-03 17:57:06.129000+00:00,outoftime,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2194, 'ratingDiff': 5}, 'black': {'user': {'name': 'Mastersolo', 'id': 'mastersolo'}, 'rating': 2165, 'ratingDiff': -5}}","{'eco': 'B12', 'name': 'Caro-Kann Defense: Advance Variation, Tal Variation', 'ply': 7}",e4 c6 d4 d5 e5 Bf5 h4 h6 g4 Bh7 e6 Nf6 exf7+ Kxf7 Nf3 Kg8 g5 Ne4 Ne5 Nd7 g6 Nxe5 gxh7+ Rxh7 dxe5 e6 Bd3 Rh8 Nd2 Bc5 Nxe4 dxe4 Bxe4 Qb6 Qe2 Rf8 f3 g6 c3 Kg7 b4 Be7 Be3 Qc7 Rg1 g5 hxg5 h5 O-O-O a5 Qc4 axb4 Qxe6 Rf7 Qg6+ Kf8 e6 Rg7 Qf5+ Ke8 Bd4 Rf8 Qe5 Qxe5 Bxe5 Rgg8 Rd7 bxc3 Rxb7 Ba3+ Kc2 h4 Bxc6+ Kd8 Rd1+,"{'initial': 180, 'increment': 0, 'totalTime': 180}",white,
6nTxxRUQ,True,standard,blitz,blitz,2021-03-03 00:35:39.378000+00:00,2021-03-03 00:37:42.856000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2181, 'ratingDiff': 7}, 'black': {'user': {'name': 'ZuketEmnizfe', 'id': 'zuketemnizfe'}, 'rating': 2207, 'ratingDiff': -6}}","{'eco': 'C65', 'name': 'Ruy Lopez: Berlin Defense', 'ply': 7}",e4 e5 Nf3 Nc6 Bb5 Nf6 O-O Be7 Re1 d6 c3 Bg4 h3 Bxf3 Qxf3 O-O d3 h6 Nd2 a6 Ba4 Nh7 Nf1 Qd7 Ng3 Bh4 Nf5 Bd8 d4 exd4 cxd4 Qc8 Qg3 Bg5 h4 g6 hxg5 gxf5 gxh6+,"{'initial': 180, 'increment': 0, 'totalTime': 180}",white,
rcTMjvTx,True,standard,blitz,blitz,2021-03-02 23:33:36.513000+00:00,2021-03-02 23:38:36.026000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2166, 'ratingDiff': 5}, 'black': {'user': {'name': 'Quetzalcoatl01', 'id': 'quetzalcoatl01'}, 'rating': 2113, 'ratingDiff': -5}}","{'eco': 'B33', 'name': 'Sicilian Defense: Lasker-Pelikan Variation, Exchange Variation', 'ply': 11}",e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Nxc6 bxc6 Bg5 Bb4 Bd3 O-O O-O h6 Bh4 Rb8 Ne2 Be7 Qc1 d5 Nc3 dxe4 Nxe4 Nxe4 Bxe7 Qxe7 Bxe4 f5 Bxc6 Ba6 Bd5+ Kh8 Re1 Rfc8 Bb3 e4 Qf4 Qf6 Rad1 Rf8 Rd6 g5 Qg3 f4 Rxf6 fxg3 Rxf8+ Rxf8 hxg3 Re8 Re3 Kg7 f3 Bb7 Kf2 Kf6 g4 Re5 fxe4 Bxe4 c3 a5 Re1 Ke7 Rd1 Rc5 Re1 Re5 Bc2 Rd5 Bxe4 Rd2+ Re2 Rd6 Bf5+ Kf6 Re6+ Rxe6 Bxe6 Kxe6 b4 Kd5 bxa5 Kc5 Ke3 Kb5 Ke4 Kxa5 Ke5 Ka6 c4 Kb6 Kf6 Kc5 Kg6 Kxc4 Kxh6 Kd5 Kxg5 Ke6 Kh6 Kf7 a3,"{'initial': 180, 'increment': 0, 'totalTime': 180}",white,
v9KwIGVR,True,standard,blitz,blitz,2021-03-02 23:13:57.720000+00:00,2021-03-02 23:19:24.971000+00:00,draw,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2166, 'ratingDiff': 0}, 'black': {'user': {'name': 'W-S-NOBODY', 'id': 'w-s-nobody'}, 'rating': 2160, 'ratingDiff': 0}}","{'eco': 'C09', 'name': 'French Defense: Tarrasch Variation, Open System, Main Line', 'ply': 10}",e4 e6 d4 d5 Nd2 c5 Ngf3 Nc6 exd5 exd5 dxc5 Bxc5 Bd3 Nf6 O-O O-O a3 h6 b4 Bb6 Bb2 Be6 Re1 Bc7 h3 Qd6 Nf1 Nd7 Ng3 Qf4 Ne2 Qd6 Ng3 Rae8 Qd2 Qf4 Qc3 f6 Ne2 Qd6 Ng3 Nde5 Nd4 Nxd4 Qxd4 Nc6 Qh4 Bf7 Rad1 Qf4 Qxf4 Bxf4 Nf5 Bg6 g3 Bc7 Kg2 Ne5 Nh4 Bxd3 cxd3 a6 Re2 Kf7 Rde1 Nd7 Nf5 Rxe2 Rxe2 Be5 d4 Bc7 Rc2 Bb8 Re2 Nb6 Re7+ Kg6 g4 Rf7 Nh4+ Kg5 Rxf7 Kxh4 Rxb7 Nc4 Bc1 Bd6 Rxg7 Nb6 Rh7 Bf8 Rf7 Bd6 Rh7 Bf8 Rh8 Bg7 Rh7 Bf8,"{'initial': 180, 'increment': 0, 'totalTime': 180}",,
fUNjzlnm,True,standard,blitz,blitz,2021-03-02 16:06:26.738000+00:00,2021-03-02 16:10:42.883000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2153, 'ratingDiff': 6}, 'black': {'user': {'name': 'Findus', 'id': 'findus'}, 'rating': 2194, 'ratingDiff': -6}}","{'eco': 'B32', 'name': 'Sicilian Defense: Löwenthal Variation', 'ply': 8}",e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5 Nxc6 d6 c4 bxc6 Nc3 Nf6 Bd3 Be7 O-O O-O Bg5 Nd7 Be3 Bb7 Qd2 Nf6 Rfd1 Ng4 Rac1 Nxe3 Qxe3 Bg5 Qg3 Bxc1 Rxc1 Qb6 b3 Qd4 Bf1 c5 Rd1 Qxd1 Nxd1 Bxe4 Nc3 Bc6 Bd3 f5 h4 Rae8 Qg5 e4 Bc2 Rf6 h5 f4 Nd5 Bxd5 Qxd5+ Kf8 Bxe4 Rfe6 Bxh7 Re1+ Kh2,"{'initial': 180, 'increment': 0, 'totalTime': 180}",white,
C8AN4EXx,True,standard,blitz,blitz,2021-03-02 06:26:26.981000+00:00,2021-03-02 06:30:28.431000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2147, 'ratingDiff': 6}, 'black': {'user': {'name': 'SexO96', 'id': 'sexo96'}, 'rating': 2150, 'ratingDiff': -6}}","{'eco': 'C48', 'name': 'Four Knights Game: Spanish Variation, Classical Variation', 'ply': 8}",e4 e5 Nf3 Nf6 Nc3 Nc6 Bb5 Bc5 O-O O-O d3 d6 Bg5 h6 Bh4 a6 Bc4 Be6 Nd2 Nd4 h3 c6 a4 d5 exd5 cxd5 Bxf6 gxf6 Bb3 Nxb3 Nxb3 Bb6 a5 Ba7 Qh5 Kh7 Kh1 Rg8 f4 f5 fxe5 d4 Ne2 Qd5 Nf4 Qxe5 Rae1 Qf6 Nxe6 fxe6 Nd2 Rg5 Qh4 Bb8 Ne4,"{'initial': 180, 'increment': 0, 'totalTime': 180}",white,
cNRIq9tD,True,standard,blitz,blitz,2021-03-02 06:13:41.420000+00:00,2021-03-02 06:19:20.408000+00:00,mate,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2145, 'ratingDiff': 7}, 'black': {'user': {'name': 'Efim_555', 'id': 'efim_555'}, 'rating': 2192, 'ratingDiff': -7}}","{'eco': 'B32', 'name': 'Sicilian Defense: Löwenthal Variation', 'ply': 8}",e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5 Nxc6 bxc6 Nc3 Nf6 Bc4 Bb4 Qe2 O-O Bg5 Qa5 O-O Bxc3 bxc3 d5 Bxf6 dxc4 Be7 Re8 Bb4 Qa6 Rfd1 Be6 Qh5 Qb6 Rd6 a5 Ba3 Rab8 h4 f6 Rad1 Qc7 Qe2 Rbd8 h5 Rxd6 Rxd6 Bf7 h6 Rd8 Rxd8+ Qxd8 hxg7 Kxg7 Qg4+ Bg6 Qe6 Qd1+ Kh2 Qxc2 Qe7+ Kh6 Qxf6 Qxe4 Bf8+ Kh5 g3 Qg4 Qg7 Qf3 Qxe5+ Bf5 Qe3 Qg4 Qh6#,"{'initial': 180, 'increment': 0, 'totalTime': 180}",white,
VgT1s61A,True,standard,blitz,blitz,2021-03-02 01:11:10.181000+00:00,2021-03-02 01:16:40.425000+00:00,outoftime,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2146, 'ratingDiff': 5}, 'black': {'user': {'name': 'ascashah70', 'id': 'ascashah70'}, 'rating': 2114, 'ratingDiff': -5}}","{'eco': 'B00', 'name': 'Pirc Defense', 'ply': 3}",e4 d6 d4 g6 Nd2 Bg7 Ngf3 Nc6 Bd3 Bg4 c3 e5 d5 Nce7 h3 Bd7 a4 a6 a5 Nf6 O-O O-O Re1 Ne8 Nc4 h6 Be3 f5 exf5 gxf5 Bc2 f4 Bc1 Bf5 Bxf5 Nxf5 Nfd2 Bf6 Ne4 Neg7 Qg4 Kh7 g3 fxg3 fxg3 Be7 Rf1 Qe8 Kh2 Qg6 Qxg6+ Kxg6 Bd2 h5 Rae1 h4 g4 Ng3 Nxg3 hxg3+ Kxg3 Bg5 Bxg5 Kxg5 h4+ Kg6 Ne3 c6 dxc6 bxc6 Nc4 Rad8 Rxf8 Rxf8 Nxd6 Rd8 Nc4 Rd3+ Re3 Rd1 Nxe5+ Kh7 Nxc6 Rg1+ Kh2 Rxg4 Kh3 Rg1 b4 Nf5 Rd3 Rh1+ Kg4 Nh6+ Kg3,"{'initial': 180, 'increment': 0, 'totalTime': 180}",white,
